                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3877,                 3.3398,                 2.0594,                0.00504,                0.33223,                0.02368,                0.00715,                 2.3855,                 3.9688,                 2.0481,                0.00032,                0.00032,                0.00032
                      2,                 2.0768,                 2.7313,                 1.8812,                0.00559,                 0.3686,                0.06055,                0.02149,                 2.2374,                 3.7736,                 1.9292,             0.00065673,             0.00065673,             0.00065673
                      3,                 2.1198,                 2.7082,                 1.9528,                0.21595,                0.06777,                0.04591,                0.01407,                 2.3549,                 3.7128,                 2.1686,              0.0009901,              0.0009901,              0.0009901
                      4,                 2.2285,                 2.7322,                  1.967,                0.11145,                0.07934,                0.03285,                0.01038,                 2.3536,                 3.5934,                  2.199,              0.0013201,              0.0013201,              0.0013201
                      5,                 2.2039,                 2.5962,                 1.9568,                0.17724,                0.10248,                0.04867,                0.01425,                 2.5397,                 3.6422,                 2.3849,              0.0016467,              0.0016467,              0.0016467
                      6,                 2.1951,                 2.5061,                 1.9516,                0.08865,                0.08099,                0.02492,                0.00744,                 2.8588,                 7.4048,                 2.8626,              0.0019505,              0.0019505,              0.0019505
                      7,                  2.174,                 2.4833,                 1.9084,                0.12006,                0.13388,                0.04705,                0.01498,                 2.6015,                 3.8128,                 2.5672,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.1908,                 2.4181,                 1.9746,                0.20528,                0.15071,                0.09387,                0.03135,                 2.5112,                 3.3803,                  2.884,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.1482,                   2.42,                 1.9182,                0.15854,                0.13058,                0.06808,                0.02237,                 2.4643,                 5.4422,                 2.3956,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.1437,                 2.3746,                 1.9482,                0.24781,                0.15207,                0.08622,                0.03048,                 2.4557,                 3.3177,                 2.1532,              0.0019109,              0.0019109,              0.0019109
                     11,                  2.132,                  2.322,                 1.8842,                0.13471,                0.09256,                0.04319,                0.01214,                 2.7138,                 3.1611,                 2.4066,               0.001901,               0.001901,               0.001901
                     12,                 2.0614,                 2.1958,                 1.8356,                0.26779,                0.11788,                 0.0941,                0.02991,                 2.4402,                 2.8952,                 2.2163,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.0996,                 2.2246,                 1.8518,                 0.1582,                0.12397,                0.05383,                0.01534,                  2.498,                 3.1862,                 2.2448,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.1116,                 2.2242,                 1.8612,                0.26409,                0.17521,                0.12688,                0.03922,                  2.404,                 2.6274,                 2.1335,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.0452,                 2.1479,                  1.829,                0.20408,                0.13554,                0.08899,                0.03096,                 2.3643,                 2.6978,                  2.165,              0.0018614,              0.0018614,              0.0018614
